rank,age,weight,squat,bench,dl,total,dots,squat_avg_avg,squat_avg_std,second_best_sq,squat_avg_rate_change,bench_avg_avg,bench_avg_std,second_best_bn,bench_avg_rate_change,dl_avg_avg,dl_avg_std,second_best_dl,dl_avg_rate_change,previous_comp_count,num_bests,num_days,federation_enc_cb,date_enc_cb,location_enc_cb,sex_enc_cb,equip_enc_cb,class_enc_cb,month_enc_cb,year_enc_cb,season_enc_cb,country_enc_cb,state_enc_cb,federation,date,location,sex,equip,class,month,year,season,country,state
1999.0,32.0,310.0,804.7,413.3,804.7,2022.7,502.2,711.5777777777777,62.54802007110071,760.6,-45.93333333333334,382.78333333333336,24.02479621835182,403.4,-16.074999999999992,774.4111111111113,38.304182152479996,811.3,-21.13333333333333,3.0,41.0,0.0,607.2965009831138,589.7037727768418,597.7678893258285,629.5156326410066,633.5014010502831,788.457160866266,598.802104339951,586.2879725490801,602.2687504224624,576.9947067281129,597.7678893258285,CPF,2019-04-27,Canada-ON,M,Wraps,308+,4,2019,spring,Canada,ON
2000.0,26.0,165.3,529.1,325.1,701.0,1543.2,502.2,389.0287878787879,93.203811346398,518.05,-23.34999999999999,223.33333333333337,66.9025477010322,319.6,-24.442857142857147,535.9938888888888,123.0273229293774,671.275,-20.105128205128207,16.0,98.0,3.0,594.8286982995155,593.6349279802309,600.876534095121,629.5156326410066,560.7616343248296,493.1739740135498,589.5778570268957,586.2879725490801,598.2495728271896,603.7017154803946,600.876534095121,USPA,2019-10-12,USA-CA,M,Raw,165,10,2019,autumn,USA,CA
2006.0,35.0,238.5,688.9,462.9,705.4,1857.4,502.13,628.2796296296298,62.51544685658903,685.2333333333332,-11.33055555555554,397.7121212121212,41.11126710317114,444.5333333333333,-11.666666666666668,661.8560606060606,25.693458173809393,694.4,-6.0583333333333265,11.0,161.0,0.0,612.0600680632176,615.9308165625725,622.3110682396488,629.5156326410066,633.5014010502831,672.2524456293546,589.0880276894883,586.2879725490801,602.2687504224624,605.19408305804,620.0950602114546,GPC-AUS,2019-06-14,Australia-SA,M,Wraps,242,6,2019,spring,Australia,SA
2007.0,25.0,274.7,810.2,435.4,705.4,1951.1,502.09,490.0375,141.57460825756442,749.55,-40.78499999999999,284.3440476190476,66.55727230011568,424.35,-18.540909090909096,498.77352941176486,84.67840491522577,642.9666666666667,-15.039285714285715,19.0,150.0,0.0,626.7172029228069,723.9188638842086,588.9950095663061,629.5156326410066,633.5014010502831,709.9730667415728,605.5659795328583,586.2879725490801,598.2495728271896,603.7017154803946,588.9950095663061,APF,2019-12-13,USA-IL,M,Wraps,275,12,2019,autumn,USA,IL
2008.0,28.229539598864953,220.0,683.4,402.3,711.0,1796.7,502.08,682.5666666666666,60.1584492182576,738.5,-17.576190476190455,393.98000000000013,31.308982657725053,418.8,-10.504761904761908,661.7933333333333,26.638155128348775,698.0666666666666,2.880952380952376,12.0,2.0,99.0,568.6610039324551,569.683011797365,572.3612575922801,629.5156326410066,633.5014010502831,639.0066415650807,601.6184052178885,592.2332918448213,593.187145237798,572.3612575922801,584.7808940702254,BAWLA,1976-02-29,UK,M,Wraps,220,2,1976,winter,UK,no state
2009.0,27.0,231.5,705.4,424.4,705.4,1835.3,502.08,602.5416666666667,28.578899072956272,622.75,-40.41666666666663,369.7000000000001,65.61950929411161,416.1,-92.8,642.0333333333333,89.61399940237507,705.4,-126.73333333333322,2.0,78.0,0.0,626.7172029228069,620.773204718946,588.9950095663061,629.5156326410066,633.5014010502831,672.2524456293546,590.2245282699661,608.9964132557909,602.2687504224624,603.7017154803946,588.9950095663061,APF,2017-03-25,USA-IL,M,Wraps,242,3,2017,spring,USA,IL
2010.0,25.0,202.8,672.4,374.8,683.4,1730.6,502.08,631.9555555555555,17.699037429361105,644.8,-16.51666666666665,359.7555555555556,15.833380116889925,371.1,-12.416666666666654,642.9833333333332,16.02469448486717,654.0,-12.874999999999945,3.0,162.0,3.0,553.3986347633138,597.73204718946,615.3851566042102,629.5156326410066,560.7616343248296,587.0188153093441,590.2245282699661,585.1374066582274,602.2687504224624,603.7017154803946,615.3851566042102,USAPL,2020-03-21,USA-SC,M,Raw,205,3,2020,spring,USA,SC
2011.0,37.0,240.5,606.2,650.3,628.3,1862.9,502.02,633.1,38.042344827836224,660.0,-1.9401030969569764,623.7060897435898,26.43699843839354,672.4,-1.7919999999999985,590.525,46.84807893606735,633.8,-4.590854129899708,26.0,118.0,0.0,594.8286982995155,584.6916023594729,594.9519751474677,629.5156326410066,560.7616343248296,672.2524456293546,595.3700438313906,602.165298784257,595.5965057790327,603.7017154803946,594.9519751474677,USPA,2018-08-25,USA-TX,M,Raw,242,8,2018,summer,USA,TX
2012.0,25.0,252.3,683.4,429.9,782.6,1895.9,502.01,560.3144444444445,70.43288623195106,657.6999999999998,-17.52307692307692,392.67187500000006,26.743853373944393,435.4,-5.144444444444441,718.572222222222,57.0763599031014,800.2,-6.7794871794871785,16.0,53.0,4.0,550.3131013887051,533.6480052432734,597.7678893258285,629.5156326410066,560.7616343248296,662.1598411772126,601.6667013497708,586.2879725490801,598.2495728271896,576.9947067281129,597.7678893258285,CPU,2019-11-03,Canada-ON,M,Raw,264,11,2019,autumn,Canada,ON
2013.0,27.0,148.1,402.3,225.9,440.9,1069.2,502.0,416.22222222222223,84.55545706733137,501.5,-28.13888888888889,234.64358974358976,72.66417221077333,303.1,-6.887500000000002,415.04117647058825,62.38762957132936,480.0,-9.642857142857142,19.0,22.0,14.0,594.8286982995155,616.6773490631533,600.876534095121,392.87895872643446,633.5014010502831,443.3055043272288,596.400489063665,602.0561717761356,593.187145237798,603.7017154803946,600.876534095121,USPA,2016-01-23,USA-CA,F,Wraps,148,1,2016,winter,USA,CA
